"","Size","Phylum","Class","Order","Family","Genus"
"Otu13848","2","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu13852","2","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_unclassified","Rhizobiales_unclassified"
"Otu13863","2","Bacteroidetes","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified"
"Otu13885","2","Firmicutes","Negativicutes","Selenomonadales","Acidaminococcaceae","Succinispira"
"Otu13889","2","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu13927","2","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu13937","2","Firmicutes","Bacilli","Bacillales","Pasteuriaceae","Pasteuria"
"Otu13943","2","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified"
"Otu13947","2","Verrucomicrobia","Spartobacteria","Spartobacteria_order_incertae_sedis","Spartobacteria_family_incertae_sedis","Spartobacteria_family_incertae_sedis_unclassified"
"Otu13948","2","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu13950","2","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu13951","2","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Oxalobacteraceae_unclassified"
